Taxon	HC.F1	HC.F2	HC.F3	HC.F4	HC.F5	Glut.F1	Glut.F2	Glut.F3	Glut.F5	Chow.F1	Chow.F2	Chow.F3	Chow.KO.F2	Chow.M1	Chow.M2	Chow.KO.M2
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0711721990917	0.0215873911708	0.100777162134	0.0914674205907	0.136624974783	0.693154850574	0.697107664406	0.610970222513	0.49353463552	0.476604101363	0.336978460338	0.4841204133	0.0320679048398	0.399094339623	0.138474110393	0.090552068995
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36343804538e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55534299201e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	2.26687118882e-05	4.97979035083e-05	4.53420148178e-05	3.69088130864e-05	2.1614455748e-05	0.00161291979577	0.000576200102016	0.00130890052356	4.05034579827e-05	1.88828883266e-05	1.81424819822e-05	0.0	2.33617568041e-05	1.88679245283e-05	1.48577371666e-05	1.55534299201e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	0.00378567488533	0.000215790915202	0.00119702919119	0.000118108201876	7.92530044093e-05	0.0	0.0	2.04515706806e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.42886858331e-06	0.000139980869281
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	0.0	0.0	0.0	0.0	7.20481858267e-06	1.02733744953e-05	0.000226701679482	6.81719022688e-06	0.0	0.0	0.0	0.0	0.000264766577113	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.000476042949653	0.00029878742105	9.06840296355e-05	0.000250979928987	0.000201734920315	0.00357513432437	0.0141877467742	0.000749890924956	0.000151887967435	0.000900084343568	0.000671271833343	0.00103490528547	0.148946774131	0.00022641509434	0.00137434068791	0.00437829052252
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	2.26687118882e-05	3.31986023388e-05	0.0	2.21452878518e-05	2.88192743307e-05	0.0	0.00160580356299	6.81719022688e-06	0.0	0.0	0.0	8.27924228375e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.000347586915619	3.31986023388e-05	6.34788207449e-05	0.000191925828049	5.04337300787e-05	0.000986243951551	0.00162469536962	6.13547120419e-05	7.08810514698e-05	0.131273839647	0.000140604235362	0.0907322161876	0.0151539929136	0.0285	0.0170046801872	0.201463577755
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	0.0	8.29965058471e-06	0.0	0.0	7.20481858267e-06	0.0	0.0	6.81719022688e-06	1.01258644957e-05	0.0	4.53562049556e-06	0.0	0.000599618424639	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.00021157464429	0.000398383228066	0.00012695764149	0.000561013958913	0.000266578287559	0.0143621775445	0.0511873500463	0.00113165357766	0.000475915631297	0.000365069174314	0.000253994747751	0.000471916810174	0.0460070863996	0.000311320754717	0.000765173464081	0.00110429352433
